species.name,longitude,latitude
Onitis alexis,22.029205,-34.054375
Onitis alexis,23.882153,-18.531862
Onitis alexis,22.88788,-18.983987
Onitis alexis,22.876938,-18.975828
Onitis alexis,22.584986,-19.418824
Onitis alexis,23.705757,-18.437742
Onitis alexis,22.925135,-18.817487
Onitis alexis,22.889817,-18.979072
Onitis alexis,23.356868,-20.073772
Onitis alexis,30.11412,-27.3569
Onitis alexis,22.702523,-29.732892
Onitis alexis,23.095789,-29.567368
Onitis alexis,23.744979,-29.089062
Onitis alexis,22.860247,-27.907477
Onitis alexis,35.4156,-4.4039
Onitis alexis,14.866667,-16.55
Onitis alexis,31,-20.25
Onitis alexis,27.638384,-27.784975
Onitis alexis,28.35,-25.6
Onitis alexis,30.950278,-28.293611
Onitis alexis,27.383333,-24.466667
Onitis alexis,28.283333,-24.8
Onitis alexis,30.25,-24.166667
Onitis alexis,28.5,-24.666667
Onitis alexis,16.664444,-20.454444
Onitis alexis,20.483333,-19.583333
Onitis alexis,27.366667,-24.616667
Onitis alexis,31.116667,-26.616667
Onitis alexis,31,-24.35
Onitis alexis,13.8125,-20.020278
Onitis alexis,30.1,-25.066667
Onitis alexis,29.333333,-25.233333
Onitis alexis,24.166667,-27.716667
Onitis alexis,28.983333,-22.05
Onitis alexis,28.083333,-25.533333
Onitis alexis,36.833333,-6.083333
Onitis alexis,28.483333,-25.666667
Onitis alexis,28.5,-25.683333
Onitis alexis,30.116667,-25.033333
Onitis alexis,36.883,0.283
Onitis alexis,27.016667,-16.633333
Onitis alexis,28.75,-24.633333
Onitis alexis,31.166667,-28.35
Onitis alexis,26.866667,-27.216667
Onitis alexis,28.283333,-24.883333
Onitis alexis,18.95,-22.45
Onitis alexis,28.616667,-24.616667
Onitis alexis,28.1,-25.4
Onitis alexis,27.233333,-24.966667
Onitis alexis,30.266667,-23.166667
Onitis alexis,29.433333,-24.816667
Onitis alexis,29.383333,-22.933333
Onitis alexis,29.966667,-29.883333
Onitis alexis,32.4,-27.016667
Onitis alexis,29.066667,-23.05
Onitis alexis,25.75,-33.483333
Onitis alexis,28.4,-25.933333
Onitis alexis,27.55,-24.366667
Onitis alexis,33.85,-11.016667
Onitis alexis,31.353333,-24.119444
Onitis alexis,22.416667,-31.2
Onitis alexis,31.283333,-22.783333
Onitis alexis,31.65,-24.95
Onitis alexis,31.016667,-22.683333
Onitis alexis,30.983333,-22.633333
Onitis alexis,27.616667,-26.9
Onitis alexis,29.716667,-31.45
Onitis alexis,22.916667,-27.883333
Onitis alexis,33.816617,-11.85445
Onitis alexis,32.066667,-28.083333
Onitis alexis,33.443333,-14.255
Onitis alexis,34.166667,-11.833333
Onitis alexis,17.766667,-31.05
Onitis alexis,29.066667,-22.983333
Onitis alexis,27.1,-24.016667
Onitis alexis,28.716667,-25.816667
Onitis alexis,28.533333,-25.516667
Onitis alexis,28.633333,-24.616667
Onitis alexis,31.183333,-22.766667
Onitis alexis,29.833333,-25.116667
Onitis alexis,32.25,-26.9
Onitis alexis,27.25,-23.716667
Onitis alexis,31.533333,-25.466667
Onitis alexis,28.283333,-25.083333
Onitis alexis,29.25,-24.233333
Onitis alexis,16.85,-25.9
Onitis alexis,31.433,-23.117
Onitis alexis,34.966975,-15.750339
Onitis alexis,33.416667,-10.1
Onitis alexis,28.2,-25.716667
Onitis alexis,27.733333,-24.916667
Onitis alexis,29.333333,-25.416667
Onitis alexis,30.666667,-23.666667
Onitis alexis,15.65,-21.8
Onitis alexis,31.766667,-25.5
Onitis alexis,19.023889,-27.973056
Onitis alexis,24.083333,-18.666667
Onitis alexis,32.283333,-28.1
Onitis alexis,30.583333,-25.3
Onitis alexis,27.1,-26.717
Onitis alexis,32.033333,-28.133333
Onitis alexis,26.832222,-27.605556
Onitis alexis,34.11,-14.17
Onitis alexis,22.116667,-18.866667
Onitis alexis,28.066667,-25.4
Onitis alexis,28.816667,-32.25
Onitis alexis,27.4,-24.533333
Onitis alexis,28.216667,-25.866667
Onitis alexis,31.083333,-22.55
Onitis alexis,28.65,-24.716667
Onitis alexis,32.266667,-26.883333
Onitis alexis,31.366667,-25.616667
Onitis alexis,22.866667,-20.866667
Onitis alexis,34.183333,-14.283333
Onitis alexis,35.616667,-15.116667
Onitis alexis,23.616667,-19.116667
Onitis alexis,31.116667,-25.616667
Onitis alexis,31.083333,-25.583333
Onitis alexis,34.824464,-16.252881
Onitis alexis,33.25,-13.12
Onitis alexis,22.366667,-28.366667
Onitis alexis,21.983333,-28.883333
Onitis alexis,30.6,-24.45
Onitis alexis,29.583333,-25.366667
Onitis alexis,13.866667,-19.366667
Onitis alexis,31.366667,-26.616667
Onitis alexis,28.116667,-27.116667
Onitis alexis,31.2,-24.2
Onitis alexis,29.216667,-24.25
Onitis alexis,33.766667,-14
Onitis alexis,35.009853,-15.832497
Onitis alexis,35.2371,-15.434708
Onitis alexis,27.516667,-24.75
Onitis alexis,28.7,-24.65
Onitis alexis,28.6,-25.2
Onitis alexis,35.05,-15.933333
Onitis alexis,27.616667,-24.616667
Onitis alexis,32.269,-28.13
Onitis alexis,32.257,-26.95
Onitis alexis,32.12,-27.373
Onitis alexis,32.166,-27.308
Onitis alexis,32.092,-27.438
Onitis alexis,31.809,-26.689
Onitis alexis,31.946,-27
Onitis alexis,26.148,-20.156
Onitis alexis,31.149,-26.349
Onitis alexis,31.873,-27.272
Onitis alexis,29.366667,-22.866667
Onitis alexis,31.618,-25.571
Onitis alexis,29.716667,-22.45
Onitis alexis,31.9,-28.733333
Onitis alexis,23.992,-33.847
Onitis alexis,24.09,-33.887
Onitis alexis,24.774,-33.741
Onitis alexis,26.333,-33.422
Onitis alexis,24.98,-33.838
Onitis alexis,24.717,-33.733
Onitis alexis,31.098,-22.729
Onitis alexis,24.926,-34
Onitis alexis,24.89,-33.83
Onitis alexis,27.74,-32.92
Onitis alexis,31.809,-26.408
Onitis alexis,28.6,-25.45
Onitis alexis,28.866667,-25.116667
Onitis alexis,25.986389,-25.735278
Onitis alexis,23.68,-19.781
Onitis alexis,19.586,-25.573
Onitis alexis,31.616667,-28.116667
Onitis alexis,28.366667,-25.616667
Onitis alexis,22.821944,-27.926111
Onitis alexis,29.886,-23.113
Onitis alexis,21.961,-21.495
Onitis alexis,30.426,-22.984
Onitis alexis,26.339,-29.286
Onitis alexis,31.126,-27.209
Onitis alexis,15.899,-19.735
Onitis alexis,20.073,-27.418
Onitis alexis,23.361,-27.485
Onitis alexis,29.78,-30.84
Onitis alexis,23.102,-27.604
Onitis alexis,22.026,-28.293
Onitis alexis,22.384,-21.049
Onitis alexis,27.776,-31.436
Onitis alexis,27.028,-29.825
Onitis alexis,29.892,-30.413
Onitis alexis,30.503,-29.722
Onitis alexis,26.671,-31.936
Onitis alexis,29.933,-30.267
Onitis alexis,25.444,-32.651
Onitis alexis,32,-27.572
Onitis alexis,28.7,-24.666667
Onitis alexis,29.2,-28.933333
Onitis alexis,27.833333,-24.183333
Onitis alexis,39.09825,-5.08881
Onitis alexis,13.18333,-17
Onitis alexis,30.009,-22.41
Onitis alexis,29.66,-22.887
Onitis alexis,29.898,-23.073
Onitis alexis,17.141,-22.792
Onitis alexis,21.25,-28.45
Onitis alexis,34.64,-0.773
Onitis alexis,38.817,-3.35
Onitis alexis,24.509,-27.034
Onitis alexis,29.3,-24.883333
Onitis alexis,18.048,-19.277
Onitis alexis,37.533,0.667
Onitis alexis,38.113,0.179
Onitis alexis,36.128611,-3.516389
Onitis alexis,31.371,-28.862
Onitis alexis,31.128611,-25.082778
Onitis alexis,38.2,0.083333
Onitis alexis,29.991,-23.081
Onitis alexis,36.494,0.229
Onitis alexis,17.583,-22.473
Onitis alexis,29.614,-23.903
Onitis alexis,17.336,-22.439
Onitis alexis,18.206,-22.352
Onitis alexis,35.1,-1.466667
Onitis alexis,34.959,-1.374
Onitis alexis,38.233,0.133
Onitis alexis,36.907,-3.392
Onitis alexis,36.767,-1.3
Onitis alexis,35.751,-3.548
Onitis alexis,38.9,-3.633
Onitis alexis,37.909,2.046
Onitis alexis,39.541,-4.006
Onitis alexis,39.25,-3
Onitis alexis,37.692,0.076
Onitis alexis,36.717,2.767
Onitis alexis,39.283,-3.037
Onitis alexis,37.417,-2.046
Onitis alexis,38.079,0.138
Onitis alexis,36.633,-1.4
Onitis alexis,34.658,-2.255
Onitis alexis,34.971,-1.311
