species.name,longitude,latitude
Onthophagus binodis,29.115321,-28.501024
Onthophagus binodis,27.514444,-29.363056
Onthophagus binodis,28.5,-28.55
Onthophagus binodis,30.666667,-25.733333
Onthophagus binodis,31.316667,-27.85
Onthophagus binodis,30.166667,-25.166667
Onthophagus binodis,28.8,-28.533
Onthophagus binodis,30.25,-26.3
Onthophagus binodis,31.166667,-25.566667
Onthophagus binodis,27.116667,-31.4
Onthophagus binodis,29.783333,-28.25
Onthophagus binodis,30.283333,-26.016667
Onthophagus binodis,28.458333,-26.641667
Onthophagus binodis,30.266667,-27.283333
Onthophagus binodis,31.225556,-27.548333
Onthophagus binodis,29.25,-28.933333
Onthophagus binodis,28.583333,-27.166667
Onthophagus binodis,27.866667,-25.716667
Onthophagus binodis,21.933333,-33.716667
Onthophagus binodis,24.166667,-33.966667
Onthophagus binodis,29.75,-30.6
Onthophagus binodis,29.32,-29.09
Onthophagus binodis,29.633333,-31.45
Onthophagus binodis,27.25,-32.683333
Onthophagus binodis,30.733333,-25.55
Onthophagus binodis,28.816667,-32.25
Onthophagus binodis,29.466667,-29.333333
Onthophagus binodis,26.016667,-32.666667
Onthophagus binodis,28.618611,-28.536944
Onthophagus binodis,29.233333,-28.916667
Onthophagus binodis,29.433333,-29.116667
Onthophagus binodis,30.533333,-25.166667
Onthophagus binodis,31.033333,-24.55
Onthophagus binodis,22.533333,-33.95
Onthophagus binodis,28.466667,-28.533333
Onthophagus binodis,29.933333,-30.3
Onthophagus binodis,23.033333,-34.033333
Onthophagus binodis,31.366667,-25.616667
Onthophagus binodis,19.3,-34.129
Onthophagus binodis,19.323,-34.184
Onthophagus binodis,27.116667,-32.616667
Onthophagus binodis,22.374,-33.993
Onthophagus binodis,24.09,-33.887
Onthophagus binodis,23.167,-33.833
Onthophagus binodis,23.167,-33.717
Onthophagus binodis,23.145,-33.976
Onthophagus binodis,30.658,-27.865
Onthophagus binodis,23.992,-33.847
Onthophagus binodis,23.133,-33.65
Onthophagus binodis,23.298,-34.04
Onthophagus binodis,27.206,-33.047
Onthophagus binodis,29.87,-27.54
Onthophagus binodis,28.916667,-28.733333
Onthophagus binodis,23.183333,-33.833333
Onthophagus binodis,28.166667,-25.75
Onthophagus binodis,29.2,-28.933333
Onthophagus binodis,27.028,-29.825
Onthophagus binodis,29.2384,-28.9678
Onthophagus binodis,29.441,-30.593
Onthophagus binodis,27.548,-31.49
Onthophagus binodis,27.95,-31.62
Onthophagus binodis,30.503,-29.722
Onthophagus binodis,25.709,-32.252
Onthophagus binodis,29.42,-30.77
Onthophagus binodis,29.892,-30.413
Onthophagus binodis,29.609,-30.521
Onthophagus binodis,27.776,-31.436
Onthophagus binodis,26.61,-30.13
Onthophagus binodis,23.182,-33.822
Onthophagus binodis,23.316667,-34.033333
Onthophagus binodis,29.469,-30.718
Onthophagus binodis,30.833333,-24.916667
Onthophagus binodis,19.758,-33.758
Onthophagus binodis,21.881,-34.199
Onthophagus binodis,29.41,-30.78
Onthophagus binodis,20.25,-28.333333
Onthophagus binodis,24.5,-34.05
Onthophagus binodis,28.695,-31.687
Onthophagus binodis,26.624,-33.281
Onthophagus binodis,30.018,-25.987
Onthophagus binodis,23.142,-34.03
Onthophagus binodis,27.452,-32.799
Onthophagus binodis,29.974,-29.271
Onthophagus binodis,19.582,-34.313
Onthophagus binodis,23.45,-33.5
Onthophagus binodis,22.054,-34
Onthophagus binodis,26.718,-31.749
Onthophagus binodis,22.309,-34
Onthophagus binodis,30.782,-25.802
Onthophagus binodis,30.1,-26.596
Onthophagus binodis,30.063,-25.546
Onthophagus binodis,30.09,-25.747
Onthophagus binodis,26.564,-33.289
Onthophagus binodis,29.633333,-26.75
Onthophagus binodis,29.067,-28.567
Onthophagus binodis,27.338,-33.271
Onthophagus binodis,30.666667,-27.3
Onthophagus binodis,30.364,-26.778
Onthophagus binodis,24.55,-34.051
Onthophagus binodis,31.08,-23.924
Onthophagus binodis,27.1,-26.717
Onthophagus binodis,22.4,-33.96556
Onthophagus binodis,30.651,-27.049
Onthophagus binodis,30.667,-27.167
Onthophagus binodis,27.317,-33.204
Onthophagus binodis,22.244,-34.043
Onthophagus binodis,30.144,-25.653
Onthophagus binodis,27.083,-30.3
Onthophagus binodis,30.173,-26.689
Onthophagus binodis,30.533,-27.078
Onthophagus binodis,27.08,-33.242
Onthophagus binodis,23.805,-33.805
Onthophagus binodis,19.417,-34.217
Onthophagus binodis,27.464,-29.31
Onthophagus binodis,30.717,-24.933
Onthophagus binodis,26.7,-30.7
Onthophagus binodis,26.83,-30.97
Onthophagus binodis,27.308,-29.261
Onthophagus binodis,28.15,-32.333
Onthophagus binodis,26.413,-33.396
Onthophagus binodis,25.444,-33.711
Onthophagus binodis,30.33,-25.603
Onthophagus binodis,29.417,-30.55
Onthophagus binodis,27.42,-29.33
Onthophagus binodis,30.136,-26.109
Onthophagus binodis,27.093,-33.235
Onthophagus binodis,30.277,-25.619
Onthophagus binodis,23.2,-34.05
Onthophagus binodis,23.883,-33.967
Onthophagus binodis,19.53,-33.533
Onthophagus binodis,27.033,-29.733
Onthophagus binodis,27.286,-32.92
Onthophagus binodis,27.416667,-29.316667
Onthophagus binodis,28.316667,-32.1
Onthophagus binodis,30.483333,-26.366667
Onthophagus binodis,27.6,-32.88
Onthophagus binodis,32.5,-19.4
Onthophagus binodis,19.25,-33.567
Onthophagus binodis,27.182,-32.369
Onthophagus binodis,25.194,-33.921
Onthophagus binodis,28.444,-31.92
Onthophagus binodis,28.883,-25.8
Onthophagus binodis,19.349,-33.604
Onthophagus binodis,27.384,-32.725
Onthophagus binodis,27.716,-28.906
Onthophagus binodis,27.425556,-32.882778
Onthophagus binodis,30.64,-24.891
Onthophagus binodis,26.743,-31.295
Onthophagus binodis,29,-30.874
Onthophagus binodis,28.617,-28.517
Onthophagus binodis,27.113,-29.533
Onthophagus binodis,27.035,-29.969
Onthophagus binodis,27.452,-29.222
Onthophagus binodis,30.08,-25.73
Onthophagus binodis,27.4,-30.15
Onthophagus binodis,30.029,-25.7
Onthophagus binodis,28.916667,-26.366667
Onthophagus binodis,30.166667,-29.5
Onthophagus binodis,26.95,-32.583333
Onthophagus binodis,25.283333,-30.266667
Onthophagus binodis,30.116667,-26.066667
Onthophagus binodis,29.983333,-26.533333
Onthophagus binodis,28.366667,-26.366667
Onthophagus binodis,30.866667,-24.533333
Onthophagus binodis,28.783333,-31.583333
Onthophagus binodis,30.283333,-27.283333
Onthophagus binodis,26.533333,-30.216667
Onthophagus binodis,28.316667,-32.516667
Onthophagus binodis,28.083333,-26.2
Onthophagus binodis,30.875,-29.875
Onthophagus binodis,27.125,-26.625
Onthophagus binodis,26.533,-30.216
Onthophagus binodis,28.319444,-32.506389
Onthophagus binodis,26.666667,-29.583333
Onthophagus binodis,30.75,-29.15
Onthophagus binodis,29.733333,-22.95
Onthophagus binodis,30.45,-25.1
Onthophagus binodis,29.883333,-29
