species.name,longitude,latitude
Euoniticellus intermedius,25.881262,-24.680921
Euoniticellus intermedius,25.133995,-25.639784
Euoniticellus intermedius,22.1925,-34.035278
Euoniticellus intermedius,25.869245,-24.699656
Euoniticellus intermedius,25.899122,-24.5876
Euoniticellus intermedius,25.882532,-24.707943
Euoniticellus intermedius,27.497298,-26.479057
Euoniticellus intermedius,25.884253,-24.589581
Euoniticellus intermedius,22.402117,-29.95336
Euoniticellus intermedius,21.659186,-30.403022
Euoniticellus intermedius,25.881042,-24.67385
Euoniticellus intermedius,28.344722,-24.854722
Euoniticellus intermedius,22.483333,-27.3
Euoniticellus intermedius,25.016667,-17.9
Euoniticellus intermedius,36.833333,-6.083333
Euoniticellus intermedius,28.5,-24.7
Euoniticellus intermedius,30.116667,-25
Euoniticellus intermedius,24.012778,-17.041111
Euoniticellus intermedius,30.166667,-25.166667
Euoniticellus intermedius,16.748889,-28.143889
Euoniticellus intermedius,36.883,0.283
Euoniticellus intermedius,28.051389,-28.390278
Euoniticellus intermedius,30.05,-22.35
Euoniticellus intermedius,28.483333,-25.666667
Euoniticellus intermedius,29.783333,-28.25
Euoniticellus intermedius,26.866667,-27.216667
Euoniticellus intermedius,21.783333,-28.916667
Euoniticellus intermedius,31.166667,-28.35
Euoniticellus intermedius,28.75,-24.633333
Euoniticellus intermedius,34.824464,-16.252881
Euoniticellus intermedius,31.225556,-27.548333
Euoniticellus intermedius,31.583333,-24.983333
Euoniticellus intermedius,29.383333,-22.933333
Euoniticellus intermedius,28.233333,-25.8
Euoniticellus intermedius,29.966667,-29.883333
Euoniticellus intermedius,25.75,-33.483
Euoniticellus intermedius,29.25,-28.933333
Euoniticellus intermedius,31.65,-24.95
Euoniticellus intermedius,31.733333,-25.75
Euoniticellus intermedius,28.216667,-25.816667
Euoniticellus intermedius,27.55,-24.366667
Euoniticellus intermedius,31.216667,-22.416667
Euoniticellus intermedius,31.016667,-22.683333
Euoniticellus intermedius,31.283333,-22.783333
Euoniticellus intermedius,31.333333,-27.85
Euoniticellus intermedius,22.916667,-27.883333
Euoniticellus intermedius,32.066667,-28.083333
Euoniticellus intermedius,23.666667,-33.933333
Euoniticellus intermedius,35.634225,-16.032522
Euoniticellus intermedius,34.166667,-11.833333
Euoniticellus intermedius,28.25,-22.666667
Euoniticellus intermedius,29.1,-22.666667
Euoniticellus intermedius,23.016667,-27.933333
Euoniticellus intermedius,22.702778,-27.341667
Euoniticellus intermedius,25,-31.5
Euoniticellus intermedius,23.366667,-20
Euoniticellus intermedius,22.666667,-27.933333
Euoniticellus intermedius,31.183333,-22.766667
Euoniticellus intermedius,29.25,-24.233333
Euoniticellus intermedius,37.666667,-6.816667
Euoniticellus intermedius,28.133333,-25.65
Euoniticellus intermedius,27.916667,-25.683333
Euoniticellus intermedius,31.466667,-24.633333
Euoniticellus intermedius,28.283333,-23.85
Euoniticellus intermedius,28.366667,-25.633333
Euoniticellus intermedius,28.2,-25.716667
Euoniticellus intermedius,18.4,-33.4
Euoniticellus intermedius,18.416667,-33.266667
Euoniticellus intermedius,28.716667,-25.816667
Euoniticellus intermedius,28.5,-25.216667
Euoniticellus intermedius,28.3,-22.383333
Euoniticellus intermedius,24.083333,-18.666667
Euoniticellus intermedius,27.733333,-24.916667
Euoniticellus intermedius,27.1,-26.717
Euoniticellus intermedius,18.116667,-19.616667
Euoniticellus intermedius,27.4,-24.533333
Euoniticellus intermedius,28.25,-25.75
Euoniticellus intermedius,27.9,-25.766667
Euoniticellus intermedius,27.466667,-24.716667
