species.name,longitude,latitude
Euoniticellus pallipes,4.88657,43.56624
Euoniticellus pallipes,4.94765,43.5455
Euoniticellus pallipes,4.23701,43.57659
Euoniticellus pallipes,4.15944,43.54392
Euoniticellus pallipes,4.41284,43.66061
Euoniticellus pallipes,4.42306,43.56472
Euoniticellus pallipes,-5.616605,36.2495
Euoniticellus pallipes,-5.628731,36.609726
Euoniticellus pallipes,-5.519958,36.702202
Euoniticellus pallipes,-3.646206,40.061584
Euoniticellus pallipes,-3.76145,39.880692
Euoniticellus pallipes,-3.762448,39.970783
Euoniticellus pallipes,-3.411703,40.062656
Euoniticellus pallipes,6.38001,43.16125
Euoniticellus pallipes,-3.528261,39.972088
Euoniticellus pallipes,-8.145181,38.167889
Euoniticellus pallipes,4.29731,43.47631
Euoniticellus pallipes,-3.628375,38.079258
Euoniticellus pallipes,-3.520158,38.890862
Euoniticellus pallipes,-6.577394,37.244907
Euoniticellus pallipes,-2.677,37.536999
Euoniticellus pallipes,-2.041474,37.355995
Euoniticellus pallipes,-2.718275,37.539818
Euoniticellus pallipes,-4.753282,37.437012
Euoniticellus pallipes,-4.642263,37.528732
Euoniticellus pallipes,-4.759632,37.707287
Euoniticellus pallipes,-4.988811,37.793762
Euoniticellus pallipes,-4.763912,37.887463
Euoniticellus pallipes,-4.424602,37.982182
Euoniticellus pallipes,-5.115226,38.242123
Euoniticellus pallipes,-5.346492,38.327827
Euoniticellus pallipes,-5.125763,38.60236
Euoniticellus pallipes,-4.779198,38.518036
Euoniticellus pallipes,2.82452,39.432613
Euoniticellus pallipes,-2.160364,36.816067
Euoniticellus pallipes,-2.599224,38.620987
Euoniticellus pallipes,-5.01996,37.809589
Euoniticellus pallipes,-5.850068,39.487839
Euoniticellus pallipes,-6.160347,36.334469
Euoniticellus pallipes,-3.531768,40.422535
Euoniticellus pallipes,-6.74951,40.02433
Euoniticellus pallipes,-8.829056,38.621483
Euoniticellus pallipes,-8.148317,37.897537
Euoniticellus pallipes,-5.514603,39.855927
Euoniticellus pallipes,-6.122689,40.207729
Euoniticellus pallipes,-6.64951,39.624981
Euoniticellus pallipes,-3.652259,40.692181
Euoniticellus pallipes,-6.083737,41.107441
Euoniticellus pallipes,-6.984067,38.87455
Euoniticellus pallipes,-6.61422,39.588322
Euoniticellus pallipes,-0.13518,40.016529
Euoniticellus pallipes,-5.88126,39.460339
Euoniticellus pallipes,-5.656815,37.420147
Euoniticellus pallipes,-5.326471,37.69746
Euoniticellus pallipes,-6.805328,37.15921
Euoniticellus pallipes,-5.553123,37.692768
Euoniticellus pallipes,-9.173893,38.711594
Euoniticellus pallipes,-4.598838,40.682953
Euoniticellus pallipes,4.09839,43.58026
Euoniticellus pallipes,-6.137784,39.847797
Euoniticellus pallipes,-6.371306,39.853329
Euoniticellus pallipes,-3.53106,40.332447
Euoniticellus pallipes,4.30138,43.65624
Euoniticellus pallipes,8.83569,41.88438
Euoniticellus pallipes,8.82133,41.88607
Euoniticellus pallipes,4.67666,43.50602
Euoniticellus pallipes,4.29864,43.64101
Euoniticellus pallipes,-6.107318,40.567635
Euoniticellus pallipes,8.94652,41.78811
Euoniticellus pallipes,8.96291,41.76571
Euoniticellus pallipes,-5.555133,40.935955
Euoniticellus pallipes,4.54435,43.47308
Euoniticellus pallipes,4.41115,43.47452
Euoniticellus pallipes,-6.638497,38.868073
Euoniticellus pallipes,4.43738,43.49578
Euoniticellus pallipes,4.50565,43.56901
Euoniticellus pallipes,4.51465,43.57801
Euoniticellus pallipes,4.33645,43.46551
Euoniticellus pallipes,-8.71454,38.531139
Euoniticellus pallipes,-6.802717,37.249283
Euoniticellus pallipes,-6.467762,37.152496
Euoniticellus pallipes,-6.461725,37.332577
Euoniticellus pallipes,-6.989135,38.694431
Euoniticellus pallipes,3.55693,43.57262
Euoniticellus pallipes,3.31089,43.84355
Euoniticellus pallipes,3.59752,43.55731
Euoniticellus pallipes,3.63082,43.59781
Euoniticellus pallipes,3.31041,43.8399
Euoniticellus pallipes,4.4809,43.57126
Euoniticellus pallipes,-6.473745,36.972366
Euoniticellus pallipes,4.3999,43.46237
Euoniticellus pallipes,-3.649641,40.421932
Euoniticellus pallipes,-1.929854,37.264904
Euoniticellus pallipes,-2.154377,37.356857
Euoniticellus pallipes,4.24164,43.65303
Euoniticellus pallipes,4.24509,43.61896
Euoniticellus pallipes,4.05189,43.56895
Euoniticellus pallipes,4.01285,43.59151
Euoniticellus pallipes,4.66991,43.50827
Euoniticellus pallipes,4.6731,43.65115
Euoniticellus pallipes,4.65127,43.54457
Euoniticellus pallipes,9.42402,42.68603
Euoniticellus pallipes,4.51015,43.57351
Euoniticellus pallipes,4.42084,43.47477
Euoniticellus pallipes,4.30343,43.74621
Euoniticellus pallipes,4.35489,43.72876
Euoniticellus pallipes,4.23789,43.67926
Euoniticellus pallipes,2.102648,41.321163
Euoniticellus pallipes,0.13031,44.06275
Euoniticellus pallipes,4.70591,43.40927
Euoniticellus pallipes,4.4179,43.57126
Euoniticellus pallipes,0.656688,41.66106
Euoniticellus pallipes,2.095132,41.86153
Euoniticellus pallipes,-5.737244,36.517162
Euoniticellus pallipes,2.59108,39.612236
Euoniticellus pallipes,2.82389,39.702923
Euoniticellus pallipes,5.93344,43.13636
Euoniticellus pallipes,4.4809,43.61626
Euoniticellus pallipes,4.94892,43.43177
Euoniticellus pallipes,5.19193,43.40927
Euoniticellus pallipes,4.82548,43.40591
Euoniticellus pallipes,6.79115,43.4509
Euoniticellus pallipes,-8.827974,39.072052
Euoniticellus pallipes,-6.919569,41.035507
Euoniticellus pallipes,4.56911,43.45517
Euoniticellus pallipes,-0.892506,38.062038
Euoniticellus pallipes,-6.033348,37.412617
Euoniticellus pallipes,5.21781,43.42182
Euoniticellus pallipes,3.23423,43.3481
Euoniticellus pallipes,5.88885,43.17552
Euoniticellus pallipes,6.77167,43.5085
