species.name,longitude,latitude
Onthophagus taurus,26.502719,39.167214
Onthophagus taurus,26.502071,39.17792
Onthophagus taurus,16.530564,43.545562
Onthophagus taurus,23.978539,38.088823
Onthophagus taurus,13.298785,37.813817
Onthophagus taurus,11.689795,45.421524
Onthophagus taurus,-9.161385,38.631702
Onthophagus taurus,9.802143,45.73412
Onthophagus taurus,8.192214,45.671511
Onthophagus taurus,28.982708,41.029208
Onthophagus taurus,-5.693008,43.499817
Onthophagus taurus,9.658908,45.876536
Onthophagus taurus,16.131583,47.669597
Onthophagus taurus,-8.82493,41.649893
Onthophagus taurus,16.7165,47.939582
Onthophagus taurus,5.44424,43.365478
Onthophagus taurus,17.351136,49.220779
Onthophagus taurus,-0.440199,47.658357
Onthophagus taurus,7.627846,44.97565
Onthophagus taurus,6.10738,46.33605
Onthophagus taurus,1.297779,46.435113
Onthophagus taurus,22.952774,40.640109
Onthophagus taurus,1.63546,47.76857
Onthophagus taurus,2.908025,47.41177
Onthophagus taurus,1.9427,47.23803
Onthophagus taurus,23.743448,37.88537
Onthophagus taurus,2.429004,41.554995
Onthophagus taurus,15.520255,46.655987
Onthophagus taurus,2.91839,47.424515
Onthophagus taurus,1.0017,46.67246
Onthophagus taurus,35.095992,32.891332
Onthophagus taurus,12.453093,45.967605
Onthophagus taurus,7.54055,43.83952
Onthophagus taurus,3.01039,46.852765
Onthophagus taurus,2.93749,44.11397
Onthophagus taurus,-3.66361,40.61361
Onthophagus taurus,8.892392,40.328159
Onthophagus taurus,12.782818,48.218472
Onthophagus taurus,0.158275,44.16182
Onthophagus taurus,8.96496,41.64497
Onthophagus taurus,2.47567,47.307025
Onthophagus taurus,6.10848,46.29108
Onthophagus taurus,19.22972,47.70583
Onthophagus taurus,6.41114,45.77307
Onthophagus taurus,5.83276,47.05051
Onthophagus taurus,-2.28714,35.08605
Onthophagus taurus,-2.03771,34.44317
Onthophagus taurus,-2.00943,34.88659
Onthophagus taurus,-0.56343,42.89684
Onthophagus taurus,-0.56466,42.90828
Onthophagus taurus,2.72669,47.96204
Onthophagus taurus,2.74861,47.78528
Onthophagus taurus,19.61944,46.65639
Onthophagus taurus,28.04639,45.41889
Onthophagus taurus,4.91785,43.55711
Onthophagus taurus,7.84323,48.87699
Onthophagus taurus,5.83749,47.14048
Onthophagus taurus,6.15398,45.78056
Onthophagus taurus,-2.27282,35.0826
Onthophagus taurus,-2.03989,34.45488
Onthophagus taurus,-2.05754,34.15661
Onthophagus taurus,-2.0568,34.14451
Onthophagus taurus,2.53707,47.26437
Onthophagus taurus,-0.55075,43.087995
Onthophagus taurus,0.90295,49.47828
Onthophagus taurus,3.55693,43.57262
Onthophagus taurus,2.03761,47.5368
Onthophagus taurus,2.56859,47.26065
Onthophagus taurus,1.331,47.55891
Onthophagus taurus,-0.66,38.58
Onthophagus taurus,-0.61112,47.30814
Onthophagus taurus,-0.62224,47.31843
Onthophagus taurus,6.90123,43.59399
Onthophagus taurus,2.00811,47.26105
Onthophagus taurus,1.87588,47.25984
Onthophagus taurus,-0.410935,43.085145
Onthophagus taurus,3.32631,46.54454
Onthophagus taurus,2.33306,46.69525
Onthophagus taurus,4.94765,43.5455
Onthophagus taurus,1.95485,47.232
Onthophagus taurus,4.23701,43.57659
Onthophagus taurus,2.09755,48.42507
Onthophagus taurus,1.9415,47.236605
Onthophagus taurus,1.355525,47.60072
Onthophagus taurus,1.99658,46.72385
Onthophagus taurus,2.069472,41.43725
Onthophagus taurus,8.5369,45.945
Onthophagus taurus,0.26698,47.68344
Onthophagus taurus,6.04963,43.89141
Onthophagus taurus,2.54015,46.90425
Onthophagus taurus,3.06488,46.1848
Onthophagus taurus,3.06193,43.57403
Onthophagus taurus,2.536,46.8894
Onthophagus taurus,5.37826,45.70948
Onthophagus taurus,-0.77827,45.49091
Onthophagus taurus,4.39792,47.617
Onthophagus taurus,-1.0168,47.01538
Onthophagus taurus,4.41703,48.33682
Onthophagus taurus,3.57409,43.80665
Onthophagus taurus,-0.64661,47.38816
Onthophagus taurus,0.01068,47.49701
Onthophagus taurus,-0.12204,47.49353
Onthophagus taurus,-0.79174,47.56376
Onthophagus taurus,2.73494,48.18306
Onthophagus taurus,-27.27334,38.75613
Onthophagus taurus,-27.10638,38.70233
Onthophagus taurus,-25.0818,36.96988
Onthophagus taurus,-0.54,38.65
Onthophagus taurus,8.18378,49.020901
Onthophagus taurus,-25.0722,36.9595
Onthophagus taurus,-31.1464,39.4522
Onthophagus taurus,-27.2032,38.706
Onthophagus taurus,-28.2975,38.4768
Onthophagus taurus,4.42084,43.47477
Onthophagus taurus,2.67369,46.54454
Onthophagus taurus,-0.46415,43.84752
Onthophagus taurus,2.404601,41.752784
Onthophagus taurus,-31.16574,39.39818
Onthophagus taurus,-31.21126,39.38303
Onthophagus taurus,-28.64987,38.56008
Onthophagus taurus,-28.63952,38.60978
Onthophagus taurus,-0.53,38.64
Onthophagus taurus,-0.55,38.65
Onthophagus taurus,-0.41722,43.79044
Onthophagus taurus,3.32577,46.45449
Onthophagus taurus,2.28235,42.58524
Onthophagus taurus,3.03905,42.58358
Onthophagus taurus,1.62074,47.540295
Onthophagus taurus,-27.19853,38.75628
Onthophagus taurus,-2.2643,46.99108
