gbifID,abstract,accessRights,accrualMethod,accrualPeriodicity,accrualPolicy,alternative,audience,available,bibliographicCitation,conformsTo,contributor,coverage,created,creator,date,dateAccepted,dateCopyrighted,dateSubmitted,description,educationLevel,extent,format,hasFormat,hasPart,hasVersion,identifier,instructionalMethod,isFormatOf,isPartOf,isReferencedBy,isReplacedBy,isRequiredBy,isVersionOf,issued,language,license,mediator,medium,modified,provenance,publisher,references,relation,replaces,requires,rights,rightsHolder,source,spatial,subject,tableOfContents,temporal,title,type,valid,institutionID,collectionID,datasetID,institutionCode,collectionCode,datasetName,ownerInstitutionCode,basisOfRecord,informationWithheld,dataGeneralizations,dynamicProperties,occurrenceID,catalogNumber,recordNumber,recordedBy,individualCount,organismQuantity,organismQuantityType,sex,lifeStage,reproductiveCondition,behavior,establishmentMeans,occurrenceStatus,preparations,disposition,associatedReferences,associatedSequences,associatedTaxa,otherCatalogNumbers,occurrenceRemarks,organismID,organismName,organismScope,associatedOccurrences,associatedOrganisms,previousIdentifications,organismRemarks,materialSampleID,eventID,parentEventID,fieldNumber,eventDate,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,samplingProtocol,samplingEffort,sampleSizeValue,sampleSizeUnit,fieldNotes,eventRemarks,locationID,higherGeographyID,higherGeography,continent,waterBody,islandGroup,island,countryCode,stateProvince,county,municipality,locality,verbatimLocality,verbatimElevation,verbatimDepth,minimumDistanceAboveSurfaceInMeters,maximumDistanceAboveSurfaceInMeters,locationAccordingTo,locationRemarks,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,pointRadiusSpatialFit,verbatimCoordinateSystem,verbatimSRS,footprintWKT,footprintSRS,footprintSpatialFit,georeferencedBy,georeferencedDate,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,geologicalContextID,earliestEonOrLowestEonothem,latestEonOrHighestEonothem,earliestEraOrLowestErathem,latestEraOrHighestErathem,earliestPeriodOrLowestSystem,latestPeriodOrHighestSystem,earliestEpochOrLowestSeries,latestEpochOrHighestSeries,earliestAgeOrLowestStage,latestAgeOrHighestStage,lowestBiostratigraphicZone,highestBiostratigraphicZone,lithostratigraphicTerms,group,formation,member,bed,identificationID,identificationQualifier,typeStatus,identifiedBy,dateIdentified,identificationReferences,identificationVerificationStatus,identificationRemarks,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,order,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,verbatimTaxonRank,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,datasetKey,publishingCountry,lastInterpreted,elevation,elevationAccuracy,depth,depthAccuracy,distanceAboveSurface,distanceAboveSurfaceAccuracy,issue,mediaType,hasCoordinate,hasGeospatialIssues,taxonKey,acceptedTaxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,subgenusKey,speciesKey,species,genericName,acceptedScientificName,verbatimScientificName,typifiedName,protocol,lastParsed,lastCrawled,repatriated,relativeOrganismQuantity,recordedByID,identifiedByID,level0Gid,level0Name,level1Gid,level1Name,level2Gid,level2Name,level3Gid,level3Name,iucnRedListCategory
3097052513,,,,,,,,,,,,,,,,,,,,,,,,,,73521868,,,,,,,,,,CC_BY_NC_4_0,,,2021-04-12T17:25:08Z,,,https://www.inaturalist.org/observations/73521868,,,,© Dewald du Plessis some rights reserved,Dewald du Plessis,,,,,,,,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,Coordinate uncertainty increased to 29704m at the request of the observer,,,https://www.inaturalist.org/observations/73521868,73521868,,Dewald du Plessis,,,,,,,,,PRESENT,,,,,,,Indoors,,,,,,,,,,,,2010-03-28T20:22:00,06:22:00Z,,,2010,3,28,2010/03/28 8:22 PM HST,,,,,,,,,,,,,,,ZA,Free State,,,,"Fezile Dabi, ZA-FS, ZA",,,,,,,-27.784975,27.638384,29704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164596478,,,Dewald du Plessis,2021-04-10T18:50:49,,,,496901,,,,,,,,"Onitis alexis Klug, 1835",,,,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Onitis,,alexis,,SPECIES,,,,ACCEPTED,,,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2021-05-18T12:26:45.174Z,,,,,,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,StillImage,TRUE,FALSE,1087005,1087005,1,54,216,1470,5840,1093671,,1087005,Onitis alexis,Onitis,"Onitis alexis Klug, 1835",Onitis alexis,,DWC_ARCHIVE,2021-05-18T12:26:45.174Z,2021-05-18T09:31:41.707Z,TRUE,,,,ZAF,South Africa,ZAF.2_1,Free State,ZAF.2.1_1,Fezile Dabi,ZAF.2.1.4_1,Ngwathe,
3053499745,,not-for-profit use only,,,,,,,,,,,,,,,,,,,,,,,,INSECT-SUA-NCAA-0056,,,,,,,,,English,CC_BY_NC_4_0,,,,,,,,,,,SUA,,,,,,,PhysicalObject,,,,,Sokoine University of Agriculture (SUA),,,,HUMAN_OBSERVATION,,,,INSECT-SUA-NCAA-0056,,,Paulo Lyimo,1,1,individuals,,,,,,PRESENT,,,,,,,,INSECT-NCAA-SUA-00055,,,,,,,,,,,,,,,,,,,,,,,,,day of month unknown,,,,AFRICA,,,,TZ,,,,Ngorongoro Conservation Area (NCA),Ngorongoro Conservation Area Authority (NCAA),,,,,,,-2.932638,35.207432,,,,decimal degrees,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,Paulo Lyimo,,,,,,,,,,,,,"Onitis alexis Klug, 1835",,,,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Onitis,,alexis,,SPECIES,,,ICZN,ACCEPTED,,,3c3a032d-0127-46a7-98a6-f9ca659f9099,TZ,2021-03-17T07:46:20.939Z,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE,,TRUE,FALSE,1087005,1087005,1,54,216,1470,5840,1093671,,1087005,Onitis alexis,Onitis,"Onitis alexis Klug, 1835",Onitis alexis,,DWC_ARCHIVE,2021-03-17T07:46:20.939Z,2021-03-17T07:46:16.925Z,FALSE,,,,TZA,Tanzania,TZA.1_1,Arusha,TZA.1.9_1,Ngorongoro,TZA.1.9.12_1,Olbalbal,
3053499687,,not-for-profit use only,,,,,,,,,,,,,,,,,,,,,,,,INSECT-SUA-NCAA-0494,,,,,,,,,English,CC_BY_NC_4_0,,,,,,,,,,,SUA,,,,,,,PhysicalObject,,,,,Sokoine University of Agriculture (SUA),,,,HUMAN_OBSERVATION,,,,INSECT-SUA-NCAA-0494,,,Paulo Lyimo,3,1,individuals,,,,,,PRESENT,,,,,,,,INSECT-NCAA-SUA-00493,,,,,,,,,,,,,,,,,,,,,,,,,day of month unknown,,,,AFRICA,,,,TZ,,,,Ngorongoro Conservation Area (NCA),,,,,,,,-3.18274,35.477076,,,,decimal degrees,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,Paulo Lyimo,,,,,,,,,,,,,"Onitis alexis Klug, 1835",,,,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Onitis,,alexis,,SPECIES,,,ICZN,ACCEPTED,,,3c3a032d-0127-46a7-98a6-f9ca659f9099,TZ,2021-03-17T07:46:20.922Z,,,,,,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE,,TRUE,FALSE,1087005,1087005,1,54,216,1470,5840,1093671,,1087005,Onitis alexis,Onitis,"Onitis alexis Klug, 1835",Onitis alexis,,DWC_ARCHIVE,2021-03-17T07:46:20.922Z,2021-03-17T07:46:16.925Z,FALSE,,,,TZA,Tanzania,TZA.1_1,Arusha,TZA.1.9_1,Ngorongoro,TZA.1.9.11_1,Ngorongoro,
3053499642,,not-for-profit use only,,,,,,,,,,,,,,,,,,,,,,,,INSECT-SUA-NCAA-0275,,,,,,,,,English,CC_BY_NC_4_0,,,,,,,,,,,SUA,,,,,,,PhysicalObject,,,,,Sokoine University of Agriculture (SUA),,,,HUMAN_OBSERVATION,,,,INSECT-SUA-NCAA-0275,,,Paulo Lyimo,3,1,individuals,,,,,,PRESENT,,,,,,,,INSECT-NCAA-SUA-00274,,,,,,,,,,,,,,,,,,,,,,,,,day of month unknown,,,,AFRICA,,,,TZ,,,,Ngorongoro Conservation Area (NCA),,,,,,,,-3.01385,35.304582,,,,decimal degrees,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,Paulo Lyimo,,,,,,,,,,,,,"Onitis alexis Klug, 1835",,,,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Onitis,,alexis,,SPECIES,,,ICZN,ACCEPTED,,,3c3a032d-0127-46a7-98a6-f9ca659f9099,TZ,2021-03-17T07:46:20.909Z,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE,,TRUE,FALSE,1087005,1087005,1,54,216,1470,5840,1093671,,1087005,Onitis alexis,Onitis,"Onitis alexis Klug, 1835",Onitis alexis,,DWC_ARCHIVE,2021-03-17T07:46:20.909Z,2021-03-17T07:46:16.925Z,FALSE,,,,TZA,Tanzania,TZA.1_1,Arusha,TZA.1.9_1,Ngorongoro,TZA.1.9.4_1,Endulen,
3053499517,,not-for-profit use only,,,,,,,,,,,,,,,,,,,,,,,,INSECT-SUA-NCAA-0713,,,,,,,,,English,CC_BY_NC_4_0,,,,,,,,,,,SUA,,,,,,,PhysicalObject,,,,,Sokoine University of Agriculture (SUA),,,,HUMAN_OBSERVATION,,,,INSECT-SUA-NCAA-0713,,,Paulo Lyimo,5,,,,,,,,PRESENT,,,,,,,,INSECT-NCAA-SUA-00712,,,,,,,,,,,,,,,,,,,,,,,,,day of month unknown,,,,AFRICA,,,,TZ,,,,Ngorongoro Conservation Area (NCA),,,,,,,,-3.193213,35.475412,,,,decimal degrees,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,Paulo Lyimo,,,,,,,,,,,,,"Onitis alexis Klug, 1835",,,,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Onitis,,alexis,,SPECIES,,,ICZN,ACCEPTED,,,3c3a032d-0127-46a7-98a6-f9ca659f9099,TZ,2021-03-17T07:46:20.848Z,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE,,TRUE,FALSE,1087005,1087005,1,54,216,1470,5840,1093671,,1087005,Onitis alexis,Onitis,"Onitis alexis Klug, 1835",Onitis alexis,,DWC_ARCHIVE,2021-03-17T07:46:20.848Z,2021-03-17T07:46:16.925Z,FALSE,,,,TZA,Tanzania,TZA.1_1,Arusha,TZA.1.9_1,Ngorongoro,TZA.1.9.11_1,Ngorongoro,
3032146609,,,,,,,,,,,,,,,,,,,,,,,,,,68532471,,,,,,,,,,CC_BY_NC_4_0,,,2021-01-25T13:55:28Z,,,https://www.inaturalist.org/observations/68532471,,,,© Stephan and Unelle Knoetze some rights reserved,Stephan and Unelle Knoetze,,,,,,,,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,,https://www.inaturalist.org/observations/68532471,68532471,,Stephan and Unelle Knoetze,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,2021-01-19T08:45:37,06:45:37Z,,,2021,1,19,2021-01-19 8:45:37 AM GMT+02:00,,,,,,,,,,,,,,,ZA,Western Cape,,,,"Mossel Bay Local Municipality, South Africa",,,,,,,-34.054375,22.029205,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152029149,,,Christian Deschodt,2021-01-25T09:26:38,,,,496901,,,,,,,,"Onitis alexis Klug, 1835",,,,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Onitis,,alexis,,SPECIES,,,,ACCEPTED,,,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2021-05-18T12:26:21.987Z,,,,,,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,StillImage,TRUE,FALSE,1087005,1087005,1,54,216,1470,5840,1093671,,1087005,Onitis alexis,Onitis,"Onitis alexis Klug, 1835",Onitis alexis,,DWC_ARCHIVE,2021-05-18T12:26:21.987Z,2021-05-18T09:31:41.707Z,TRUE,,,,ZAF,South Africa,ZAF.9_1,Western Cape,ZAF.9.4_1,Eden,ZAF.9.4.6_1,Mossel Bay,
3028124630,,,,,,,,,,,,,,,,,,,,,,,,,,http://n2t.net/ark:/65665/3d30c9b9a-1ef5-49dc-8697-d0dcb4fa3dbb,,,,,,,,,,CC0_1_0,,,,,,,,,,,,,,,,,,PhysicalObject,,http://grbio.org/cool/142r-0w94,,,USNM,Entomology,,,MATERIAL_SAMPLE,,,,http://n2t.net/ark:/65665/3d30c9b9a-1ef5-49dc-8697-d0dcb4fa3dbb,USNMENT1640997.1.16076858,,R. Gordon,1,,,,Adult,,,,PRESENT,Frozen,in collection,,MN344168,,,One leg removed for genetic sampling while on loan to GUELPH.,,,,,,,,AO1LG83,,,,2001-02-15T00:00:00,,46,59,2001,2,15,,,,,,,,,,,"Kenya, Rift Valley, Laikipia",,,,,KE,Rift Valley,Laikipia,,Mpala Research Centre,,,,,,,,0.283,36.883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Onitis alexis Klug, 1835",,,,,,,"Animalia, Arthropoda, Insecta, Coleoptera, Scarabaeidae, Scarabaeinae",Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Onitis,,alexis,,SPECIES,,,,ACCEPTED,,,26098c25-8f7f-4c71-97ac-1d3db181c65e,US,2021-04-24T19:46:33.506Z,1800,0,,,,,GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,,TRUE,FALSE,1087005,1087005,1,54,216,1470,5840,1093671,,1087005,Onitis alexis,Onitis,"Onitis alexis Klug, 1835",Onitis alexis,,DWC_ARCHIVE,2021-04-24T19:46:33.506Z,2021-04-24T19:42:06.052Z,TRUE,,,,KEN,Kenya,KEN.20_1,Laikipia,KEN.20.2_1,Laikipia North,KEN.20.2.3_1,Segera,
3028088548,,,,,,,,,,,,,,,,,,,,,,,,,,http://n2t.net/ark:/65665/35bdadb26-d69c-450c-b40a-c268daa4ff62,,,,,,,,,,CC0_1_0,,,,,,,,,,,,,,,,,,PhysicalObject,,http://grbio.org/cool/142r-0w94,,,USNM,Entomology,,,MATERIAL_SAMPLE,,,,http://n2t.net/ark:/65665/35bdadb26-d69c-450c-b40a-c268daa4ff62,USNMENT1640996.1.16076857,,R. Gordon,1,,,,Adult,,,,PRESENT,Frozen,in collection,,MN343811,,,One leg removed for genetic sampling while on loan to GUELPH.,,,,,,,,AO1LG82,,,,2001-02-15T00:00:00,,46,59,2001,2,15,,,,,,,,,,,"Kenya, Rift Valley, Laikipia",,,,,KE,Rift Valley,Laikipia,,Mpala Research Centre,,,,,,,,0.283,36.883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Onitis alexis Klug, 1835",,,,,,,"Animalia, Arthropoda, Insecta, Coleoptera, Scarabaeidae, Scarabaeinae",Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Onitis,,alexis,,SPECIES,,,,ACCEPTED,,,26098c25-8f7f-4c71-97ac-1d3db181c65e,US,2021-04-24T19:46:33.850Z,1800,0,,,,,GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,,TRUE,FALSE,1087005,1087005,1,54,216,1470,5840,1093671,,1087005,Onitis alexis,Onitis,"Onitis alexis Klug, 1835",Onitis alexis,,DWC_ARCHIVE,2021-04-24T19:46:33.850Z,2021-04-24T19:42:06.052Z,TRUE,,,,KEN,Kenya,KEN.20_1,Laikipia,KEN.20.2_1,Laikipia North,KEN.20.2.3_1,Segera,
3025708978,,,,,,,,,,,,,,,,,,,,,,,,,,https://darwin.naturalsciences.be/uri/object/98f4e5e3-9bf5-492d-b8b9-7181218d1852,,,,,,,,,en,CC_BY_NC_4_0,,,2016-09-15T10:47:42.340Z,,,,,,,,Royal Belgian Institute of Natural Sciences,,,,,,,PhysicalObject,,https://www.wikidata.org/wiki/Q222297,http://collections.naturalsciences.be/327,be_rbins_darwin,RBINS-Scientific Heritage,urn:catalog:RBINS:TVC,Royal Belgian Institute of Natural Sciences Collection,RBINS,PRESERVED_SPECIMEN,Precise location information withheld - country only,,,https://darwin.naturalsciences.be/uri/object/98f4e5e3-9bf5-492d-b8b9-7181218d1852,EVCT.1354,,,,2,SpecimensInContainer,,,,,,PRESENT,container type: cabinet; preservation method: dry,good state,,,,,,,,,,,,,,,,ENTOMOLOGY,1971-06-01T00:00:00,,,,1971,6,,,,,,,,,,,,,,,,,TR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mal Noël,2016-01-01T00:00:00,,,,https://www.gbif.org/species/1087005,,,,,,,,"Onitis alexis Klug, 1835",,"Onitis Fabricius, 1798",,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Onitis,,alexis,,SPECIES,,,ICZN,ACCEPTED,,,8138eb72-f762-11e1-a439-00145eb45e9a,BE,2021-03-30T11:10:57.779Z,,,,,,,TYPE_STATUS_INVALID;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE,,FALSE,FALSE,1087005,1087005,1,54,216,1470,5840,1093671,,1087005,Onitis alexis,Onitis,"Onitis alexis Klug, 1835","Onitis alexis Klug, 1835",,DWC_ARCHIVE,2021-03-30T11:10:57.779Z,2021-03-25T15:34:20.769Z,TRUE,,,,,,,,,,,,
3018058475,,,,,,,,,,,,,,,,,,,,,,,,,,57041805,,,,,,,,,,CC_BY_NC_4_0,,,2021-01-07T00:22:44Z,,,https://www.inaturalist.org/observations/57041805,,,,© Grigory Heaton some rights reserved,Grigory Heaton,,,,,,,,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,,https://www.inaturalist.org/observations/57041805,57041805,,Grigory Heaton,,,,,,,,,PRESENT,,,,,,,On the back of my car at a gas station,,,,,,,,,,,,2020-08-19T20:12:58,03:12:58Z,,,2020,8,19,2020-08-19 8:12:58 PM PDT,,,,,,,,,,,,,,,US,California,,,,"Hwy 78 & Magnolia Rd, Ramona, CA 92065, USA",,,,,,,33.050607,-116.84365,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125068317,,,Grigory Heaton,2020-08-20T21:31:27,,,,496901,,,,,,,,"Onitis alexis Klug, 1835",,,,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Onitis,,alexis,,SPECIES,,,,ACCEPTED,,,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2021-05-18T11:59:57.795Z,,,,,,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,StillImage,TRUE,FALSE,1087005,1087005,1,54,216,1470,5840,1093671,,1087005,Onitis alexis,Onitis,"Onitis alexis Klug, 1835",Onitis alexis,,DWC_ARCHIVE,2021-05-18T11:59:57.795Z,2021-05-18T09:31:41.707Z,FALSE,,,,USA,United States,USA.5_1,California,USA.5.37_1,San Diego,,,
