gbifID,abstract,accessRights,accrualMethod,accrualPeriodicity,accrualPolicy,alternative,audience,available,bibliographicCitation,conformsTo,contributor,coverage,created,creator,date,dateAccepted,dateCopyrighted,dateSubmitted,description,educationLevel,extent,format,hasFormat,hasPart,hasVersion,identifier,instructionalMethod,isFormatOf,isPartOf,isReferencedBy,isReplacedBy,isRequiredBy,isVersionOf,issued,language,license,mediator,medium,modified,provenance,publisher,references,relation,replaces,requires,rights,rightsHolder,source,spatial,subject,tableOfContents,temporal,title,type,valid,institutionID,collectionID,datasetID,institutionCode,collectionCode,datasetName,ownerInstitutionCode,basisOfRecord,informationWithheld,dataGeneralizations,dynamicProperties,occurrenceID,catalogNumber,recordNumber,recordedBy,individualCount,organismQuantity,organismQuantityType,sex,lifeStage,reproductiveCondition,behavior,establishmentMeans,occurrenceStatus,preparations,disposition,associatedReferences,associatedSequences,associatedTaxa,otherCatalogNumbers,occurrenceRemarks,organismID,organismName,organismScope,associatedOccurrences,associatedOrganisms,previousIdentifications,organismRemarks,materialSampleID,eventID,parentEventID,fieldNumber,eventDate,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,samplingProtocol,samplingEffort,sampleSizeValue,sampleSizeUnit,fieldNotes,eventRemarks,locationID,higherGeographyID,higherGeography,continent,waterBody,islandGroup,island,countryCode,stateProvince,county,municipality,locality,verbatimLocality,verbatimElevation,verbatimDepth,minimumDistanceAboveSurfaceInMeters,maximumDistanceAboveSurfaceInMeters,locationAccordingTo,locationRemarks,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,pointRadiusSpatialFit,verbatimCoordinateSystem,verbatimSRS,footprintWKT,footprintSRS,footprintSpatialFit,georeferencedBy,georeferencedDate,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,geologicalContextID,earliestEonOrLowestEonothem,latestEonOrHighestEonothem,earliestEraOrLowestErathem,latestEraOrHighestErathem,earliestPeriodOrLowestSystem,latestPeriodOrHighestSystem,earliestEpochOrLowestSeries,latestEpochOrHighestSeries,earliestAgeOrLowestStage,latestAgeOrHighestStage,lowestBiostratigraphicZone,highestBiostratigraphicZone,lithostratigraphicTerms,group,formation,member,bed,identificationID,identificationQualifier,typeStatus,identifiedBy,dateIdentified,identificationReferences,identificationVerificationStatus,identificationRemarks,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,order,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,verbatimTaxonRank,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,datasetKey,publishingCountry,lastInterpreted,elevation,elevationAccuracy,depth,depthAccuracy,distanceAboveSurface,distanceAboveSurfaceAccuracy,issue,mediaType,hasCoordinate,hasGeospatialIssues,taxonKey,acceptedTaxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,subgenusKey,speciesKey,species,genericName,acceptedScientificName,verbatimScientificName,typifiedName,protocol,lastParsed,lastCrawled,repatriated,relativeOrganismQuantity,recordedByID,identifiedByID,level0Gid,level0Name,level1Gid,level1Name,level2Gid,level2Name,level3Gid,level3Name,iucnRedListCategory
3113655387,,,,,,,,,,,,,,,,,,,,,,,,,,78230960,,,,,,,,,,CC_BY_NC_4_0,,,2021-05-10T16:53:43Z,,,https://www.inaturalist.org/observations/78230960,,,,© Σάββας Ζαφειρίου (Savvas Zafeiriou) some rights reserved,Σάββας Ζαφειρίου (Savvas Zafeiriou),,,,,,,,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,,https://www.inaturalist.org/observations/78230960,78230960,,Σάββας Ζαφειρίου (Savvas Zafeiriou),,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,2021-04-09T23:20:00,10:20:00Z,,,2021,4,9,2021/04/09 11:20 PM SST,,,,,,,,,,,,,,,GR,Aegean,,,,"Περιφέρεια Βορείου Αιγαίου, Ελλάδα",,,,,,,39.167214,26.502719,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173623487,,,Σάββας Ζαφειρίου (Savvas Zafeiriou),2021-05-10T15:17:54,,,,226435,,,,,,,,"Onthophagus taurus (Schreber, 1759)",,,,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Onthophagus,,taurus,,SPECIES,,,,ACCEPTED,,,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2021-05-18T12:42:16.225Z,,,,,,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,StillImage,TRUE,FALSE,1091267,1091267,1,54,216,1470,5840,1089294,,1091267,Onthophagus taurus,Onthophagus,"Onthophagus taurus (Schreber, 1759)",Onthophagus taurus,,DWC_ARCHIVE,2021-05-18T12:42:16.225Z,2021-05-18T09:31:41.707Z,TRUE,,,,GRC,Greece,GRC.1_1,Aegean,GRC.1.1_1,North Aegean,GRC.1.1.6_1,Lesbos,
3113506400,,,,,,,,,,,,,,,,,,,,,,,,,,78256187,,,,,,,,,,CC_BY_NC_4_0,,,2021-05-11T14:43:01Z,,,https://www.inaturalist.org/observations/78256187,,,,© Σάββας Ζαφειρίου (Savvas Zafeiriou) some rights reserved,Σάββας Ζαφειρίου (Savvas Zafeiriou),,,,,,,,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,,https://www.inaturalist.org/observations/78256187,78256187,,Σάββας Ζαφειρίου (Savvas Zafeiriou),,,,,,,,,PRESENT,,,,,,,Region: A2,,,,,,,,,,,,2021-04-09T21:14:00,08:14:00Z,,,2021,4,9,2021/04/09 9:14 PM SST,,,,,,,,,,,,,,,GR,Aegean,,,,"Περιφέρεια Βορείου Αιγαίου, Ελλάδα",,,,,,,39.17792,26.502071,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173679915,,,Σάββας Ζαφειρίου (Savvas Zafeiriou),2021-05-10T18:46:48,,,,226435,,,,,,,,"Onthophagus taurus (Schreber, 1759)",,,,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Onthophagus,,taurus,,SPECIES,,,,ACCEPTED,,,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2021-05-18T12:41:23.011Z,,,,,,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,StillImage,TRUE,FALSE,1091267,1091267,1,54,216,1470,5840,1089294,,1091267,Onthophagus taurus,Onthophagus,"Onthophagus taurus (Schreber, 1759)",Onthophagus taurus,,DWC_ARCHIVE,2021-05-18T12:41:23.011Z,2021-05-18T09:31:41.707Z,TRUE,,,,GRC,Greece,GRC.1_1,Aegean,GRC.1.1_1,North Aegean,GRC.1.1.6_1,Lesbos,
3112051903,,,,,,,,,"Chittaro Y (2021-05-06) CSCF-COL-1063936. Banque de données des Coléoptères de Suisse, Info Fauna - Centre Suisse de Cartographie de la Faune",,,,,,,,,,,,,,,,,CSCF-COL-1063936,,,,,,,,,,CC_BY_4_0,,,,,,,,,,,Info Fauna - Centre Suisse de Cartographie de la Faune,,,,,,,,,,,CSCF-COL,,Chittaro Marie-Christine,Swiss National Coleoptera Databank,,PRESERVED_SPECIMEN,,"In order to respect the currently nationally agreed ethical framework while simultaneously sharing scientifically utilizable data for large scale studies, Swiss biodiversity data is generally published generalized to 5km grid squares. Altitude information corresponds to raw data.",,CSCF-COL-1063936,CSCF-COL-1063936,,Chittaro Yannick,,,,,Adult,,,,PRESENT,,,,,,,,,,,,,,,,,,,2020-10-03T00:00:00,,,,2020,10,3,,,,,,,,,,,,,,,,CH,Ti,,,,,,,,,,,46.06291,9.02174,3535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cosandey Vivien,,,,,infospecies.ch:infofauna:22637,,,,,,,,"Onthophagus taurus (Schreber, 1759)",,,,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Onthophagus,,taurus,,SPECIES,,,ICZN,ACCEPTED,,,b087c908-e2fb-413e-b107-c507b212169f,CH,2021-05-16T20:40:56.853Z,800,,,,,,INSTITUTION_MATCH_NONE,,TRUE,FALSE,1091267,1091267,1,54,216,1470,5840,1089294,,1091267,Onthophagus taurus,Onthophagus,"Onthophagus taurus (Schreber, 1759)","Onthophagus taurus (Schreber, 1759)",,DWC_ARCHIVE,2021-05-16T20:40:56.853Z,2021-05-16T20:31:09.712Z,FALSE,,,,CHE,Switzerland,CHE.21_1,Ticino,CHE.21.5_1,Lugano,CHE.21.5.59_1,Sonvico,
3111123891,,,,,,,,,,,,,,,,,,,,,,,,,,IMEDEA:IMEDEA-INSECTA:103,,,,,,,,,ES,CC_BY_4_0,,,,,,,,,,,,,,,,,,,,,,,IMEDEA,IMEDEA-INSECTA,Institut Mediterrani d'Estudis Avançats (CSIC-UIB): IMEDEA-INSECTA,,PRESERVED_SPECIMEN,,,,IMEDEA:IMEDEA-INSECTA:103,103,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,103,1989-01-01T00:00:00,,,,1989,,,20/05/1989,,,,,,,,,,,,,,,ES,Mallorca,,Marratxí,Ses Clotes,,,,,,,,39.619942,2.758639,274.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Onthophagus taurus (Schreber, 1759)",,,,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Onthophagus,,taurus,,SPECIES,,,,ACCEPTED,,,7a1f6da2-f762-11e1-a439-00145eb45e9a,ES,2021-05-13T08:25:46.203Z,,,,,,,COORDINATE_ROUNDED,,TRUE,FALSE,1091267,1091267,1,54,216,1470,5840,1089294,,1091267,Onthophagus taurus,Onthophagus,"Onthophagus taurus (Schreber, 1759)",Onthophagus taurus (Schreber 1759),,DWC_ARCHIVE,2021-05-13T08:25:46.203Z,2021-05-13T08:25:19.552Z,FALSE,,,,ESP,Spain,ESP.13_1,Islas Baleares,ESP.13.1_1,Baleares,ESP.13.1.9_1,n.a. (59),
3111122583,,,,,,,,,,,,,,,,,,,,,,,,,,IMEDEA:IMEDEA-INSECTA:78,,,,,,,,,ES,CC_BY_4_0,,,,,,,,,,,,,,,,,,,,,,,IMEDEA,IMEDEA-INSECTA,Institut Mediterrani d'Estudis Avançats (CSIC-UIB): IMEDEA-INSECTA,,PRESERVED_SPECIMEN,,,,IMEDEA:IMEDEA-INSECTA:78,78,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,78,1989-01-01T00:00:00,,,,1989,,,13/06/1989,,,,,,,,,,,,,,,ES,Mallorca,,Bunyola,Comassema,,,,,,,,39.7535,2.7762,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Onthophagus taurus (Schreber, 1759)",,,,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Onthophagus,,taurus,,SPECIES,,,,ACCEPTED,,,7a1f6da2-f762-11e1-a439-00145eb45e9a,ES,2021-05-13T08:25:44.624Z,,,,,,,,,TRUE,FALSE,1091267,1091267,1,54,216,1470,5840,1089294,,1091267,Onthophagus taurus,Onthophagus,"Onthophagus taurus (Schreber, 1759)",Onthophagus taurus (Schreber 1759),,DWC_ARCHIVE,2021-05-13T08:25:44.624Z,2021-05-13T08:25:19.552Z,FALSE,,,,ESP,Spain,ESP.13_1,Islas Baleares,ESP.13.1_1,Baleares,ESP.13.1.7_1,n.a. (57),
3111122578,,,,,,,,,,,,,,,,,,,,,,,,,,IMEDEA:IMEDEA-INSECTA:79,,,,,,,,,ES,CC_BY_4_0,,,,,,,,,,,,,,,,,,,,,,,IMEDEA,IMEDEA-INSECTA,Institut Mediterrani d'Estudis Avançats (CSIC-UIB): IMEDEA-INSECTA,,PRESERVED_SPECIMEN,,,,IMEDEA:IMEDEA-INSECTA:79,79,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,79,1989-01-01T00:00:00,,,,1989,,,13/06/1989,,,,,,,,,,,,,,,ES,Mallorca,,Escorca,Puig Major,,,,,,,,39.80738,2.796542,1308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Onthophagus taurus (Schreber, 1759)",,,,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Onthophagus,,taurus,,SPECIES,,,,ACCEPTED,,,7a1f6da2-f762-11e1-a439-00145eb45e9a,ES,2021-05-13T08:25:44.622Z,,,,,,,COORDINATE_ROUNDED,,TRUE,FALSE,1091267,1091267,1,54,216,1470,5840,1089294,,1091267,Onthophagus taurus,Onthophagus,"Onthophagus taurus (Schreber, 1759)",Onthophagus taurus (Schreber 1759),,DWC_ARCHIVE,2021-05-13T08:25:44.622Z,2021-05-13T08:25:19.552Z,FALSE,,,,ESP,Spain,ESP.13_1,Islas Baleares,ESP.13.1_1,Baleares,ESP.13.1.7_1,n.a. (57),
3111122558,,,,,,,,,,,,,,,,,,,,,,,,,,IMEDEA:IMEDEA-INSECTA:81,,,,,,,,,ES,CC_BY_4_0,,,,,,,,,,,,,,,,,,,,,,,IMEDEA,IMEDEA-INSECTA,Institut Mediterrani d'Estudis Avançats (CSIC-UIB): IMEDEA-INSECTA,,PRESERVED_SPECIMEN,,,,IMEDEA:IMEDEA-INSECTA:81,81,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,81,1989-01-01T00:00:00,,,,1989,,,13/06/1989,,,,,,,,,,,,,,,ES,Mallorca,,Bunyola,Es Freus,,,,,,,,39.724,2.7461,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Onthophagus taurus (Schreber, 1759)",,,,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Onthophagus,,taurus,,SPECIES,,,,ACCEPTED,,,7a1f6da2-f762-11e1-a439-00145eb45e9a,ES,2021-05-13T08:25:44.617Z,,,,,,,,,TRUE,FALSE,1091267,1091267,1,54,216,1470,5840,1089294,,1091267,Onthophagus taurus,Onthophagus,"Onthophagus taurus (Schreber, 1759)",Onthophagus taurus (Schreber 1759),,DWC_ARCHIVE,2021-05-13T08:25:44.617Z,2021-05-13T08:25:19.552Z,FALSE,,,,ESP,Spain,ESP.13_1,Islas Baleares,ESP.13.1_1,Baleares,ESP.13.1.7_1,n.a. (57),
3111122557,,,,,,,,,,,,,,,,,,,,,,,,,,IMEDEA:IMEDEA-INSECTA:80,,,,,,,,,ES,CC_BY_4_0,,,,,,,,,,,,,,,,,,,,,,,IMEDEA,IMEDEA-INSECTA,Institut Mediterrani d'Estudis Avançats (CSIC-UIB): IMEDEA-INSECTA,,PRESERVED_SPECIMEN,,,,IMEDEA:IMEDEA-INSECTA:80,80,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,80,1989-01-01T00:00:00,,,,1989,,,20/03/1989,,,,,,,,,,,,,,,ES,Mallorca,,Bunyola,Comassema,,,,,,,,39.7535,2.7762,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Onthophagus taurus (Schreber, 1759)",,,,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Onthophagus,,taurus,,SPECIES,,,,ACCEPTED,,,7a1f6da2-f762-11e1-a439-00145eb45e9a,ES,2021-05-13T08:25:44.617Z,,,,,,,,,TRUE,FALSE,1091267,1091267,1,54,216,1470,5840,1089294,,1091267,Onthophagus taurus,Onthophagus,"Onthophagus taurus (Schreber, 1759)",Onthophagus taurus (Schreber 1759),,DWC_ARCHIVE,2021-05-13T08:25:44.617Z,2021-05-13T08:25:19.552Z,FALSE,,,,ESP,Spain,ESP.13_1,Islas Baleares,ESP.13.1_1,Baleares,ESP.13.1.7_1,n.a. (57),
3111120637,,,,,,,,,,,,,,,,,,,,,,,,,,IMEDEA:IMEDEA-INSECTA:2080,,,,,,,,,ES,CC_BY_4_0,,,,,,,,,,,,,,,,,,,,,,,IMEDEA,IMEDEA-INSECTA,Institut Mediterrani d'Estudis Avançats (CSIC-UIB): IMEDEA-INSECTA,,PRESERVED_SPECIMEN,,,,IMEDEA:IMEDEA-INSECTA:2080,2080,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,2080,1990-01-01T00:00:00,,,,1990,,,10/06/1990,,,,,,,,,,,,,,,ES,Menorca,,Ferreries,Santa Cecilia,,,,,,,,40.0174,4.0031,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Onthophagus taurus (Schreber, 1759)",,,,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Onthophagus,,taurus,,SPECIES,,,,ACCEPTED,,,7a1f6da2-f762-11e1-a439-00145eb45e9a,ES,2021-05-13T08:25:42.922Z,,,,,,,,,TRUE,FALSE,1091267,1091267,1,54,216,1470,5840,1089294,,1091267,Onthophagus taurus,Onthophagus,"Onthophagus taurus (Schreber, 1759)",Onthophagus taurus (Schreber 1759),,DWC_ARCHIVE,2021-05-13T08:25:42.922Z,2021-05-13T08:25:19.552Z,FALSE,,,,ESP,Spain,ESP.13_1,Islas Baleares,ESP.13.1_1,Baleares,ESP.13.1.1_1,n.a. (51),
3111115965,,,,,,,,,,,,,,,,,,,,,,,,,,IMEDEA:IMEDEA-INSECTA:8886,,,,,,,,,ES,CC_BY_4_0,,,,,,,,,,,,,,,,,,,,,,,IMEDEA,IMEDEA-INSECTA,Institut Mediterrani d'Estudis Avançats (CSIC-UIB): IMEDEA-INSECTA,,PRESERVED_SPECIMEN,,,,IMEDEA:IMEDEA-INSECTA:8886,8886,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,8886,1977-01-01T00:00:00,,,,1977,,,20/05/1977,,,,,,,,,,,,,,,PT,Algarve,,,Albufeira,,,,,,,,37.144524,-8.214588,11210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Onthophagus taurus (Schreber, 1759)",,,,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Onthophagus,,taurus,,SPECIES,,,,ACCEPTED,,,7a1f6da2-f762-11e1-a439-00145eb45e9a,ES,2021-05-13T08:25:34.199Z,,,,,,,COORDINATE_ROUNDED,,TRUE,FALSE,1091267,1091267,1,54,216,1470,5840,1089294,,1091267,Onthophagus taurus,Onthophagus,"Onthophagus taurus (Schreber, 1759)",Onthophagus taurus (Schreber 1759),,DWC_ARCHIVE,2021-05-13T08:25:34.199Z,2021-05-13T08:25:19.552Z,TRUE,,,,PRT,Portugal,PRT.9_1,Faro,PRT.9.1_1,Albufeira,PRT.9.1.5_1,Paderne,
