X,Y,release_time_int,qty
-1456121.697,-3548084.038,1,500
-886446.7678,-1908760.327,1,500
-1173621.52,-2871156.463,2,500
-1033613.223,-1958025.927,2,500
-657308.4816,-1954788.044,2,500
-866784.4851,-2816329.498,2,500
-1581637.291,-2337456.228,2,500
-834058.8872,-2810381.955,2,500
-1014582.64,-2915463.735,2,500
-1814725.941,-2811629.798,2,500
-1539991.003,-3447618.7,2,500
-991301.6336,-2771142.084,2,500
-1665267.588,-3241781.73,2,500
-1320187.359,-3665386.985,2,500
-1216507.608,-3779535.212,2,500
-1412322.251,-2812985.825,2,500
-1388852.077,-2844215.293,2,500
-1568852.604,-2831459.565,3,500
-1511006.705,-2713459.591,3,500
-1386667.765,-2757539.621,3,500
-657308.4816,-1954788.044,3,500
-1322959.624,-2948005.641,3,550
-851397.5485,-3713693.426,4,500
-1036960.873,-3741693.027,4,500
-1005987.338,-3725930.224,4,500
-985657.7759,-3711141.567,4,500
-1225340.733,-2816012.591,4,500
-1412322.251,-2812985.825,4,500
-1388852.077,-2844215.293,4,500
-1445276.223,-2875008.681,4,500
-471563.2068,-3489163.602,4,500
-471563.2068,-3489163.602,4,500
-1384126.174,-3717706.631,4,500
-1499440.909,-3542182.112,4,500
-1445276.223,-2875008.681,4,500
-1375967.906,-2931161.337,4,500
-1375967.906,-2931161.337,4,500
-1422472.718,-2885573.48,4,500
-1339013.251,-2684851.585,5,500
-1411200.303,-2671977.928,5,500
-1525042.35,-3351569.053,6,500
-1534875.987,-3324558.381,6,500
-1561546.265,-3292160.815,6,500
-1490552.211,-3332210.625,6,500
-1468874.617,-3352151.301,6,500
-1456283.845,-3403315.8,6,500
-1540941.416,-3440210.039,6,850
-1489045.022,-3612293.148,14,200
-1544210.943,-3389787.104,14,300
-510187.4392,-2843672.482,24,640
