X,Y,release_time_int,qty
-1665267.588,-3241781.73,1,300
-1440552.179,-3662606.175,1,300
-1547492.369,-3512581.371,1,300
-1814725.941,-2811629.798,2,300
-1594362.486,-3349198.941,2,500
-657308.4816,-1954788.044,2,500
-851069.1317,-1878804.785,3,500
-1581637.291,-2337456.228,3,500
-1033613.223,-1958025.927,3,500
-1033613.223,-1958025.927,3,73
-356143.0063,-1667552.319,7,500
-1430162.347,-3541179.933,12,645
-1539991.003,-3447618.7,12,350
-1539991.003,-3447618.7,12,600
-1383055.182,-3526228.344,12,20
-1540941.416,-3440210.039,13,300
-1539991.003,-3447618.7,14,2000
-1540941.416,-3440210.039,14,1500
-1491051.964,-3418860.783,14,2000
-1535619.624,-3431997.962,14,2000
-1494100.463,-3646740.307,14,386
-510187.4392,-2843672.482,23,80
