X,Y,release_time_int,qty
-1373991.856,-3671537.811,1,500
-1456121.697,-3548084.038,3,900
-1448603.773,-3532133.422,3,900
-1430162.347,-3541179.933,5,800
-1430162.347,-3541179.933,5,700
-1430162.347,-3541179.933,5,1050
-1425617.621,-3657038.694,5,600
-1425617.621,-3657038.694,6,760
-1274462.442,-3854838.218,6,500
-1274462.442,-3854838.218,6,650
-1383055.182,-3526228.344,7,750
-1409112.32,-3677562.357,7,500
-1409112.32,-3677562.357,7,500
-1383055.182,-3526228.344,7,650
-1409112.32,-3677562.357,7,500
-1383055.182,-3526228.344,7,1150
-1539991.003,-3447618.7,8,750
-1375411.982,-3765374.461,8,600
-1466050.019,-3795133.672,8,7000
-1375411.982,-3765374.461,8,1150
-1410892.985,-3583953.062,9,1500
-1459546.968,-3507151.845,9,850
-1459546.968,-3507151.845,9,1600
-1318538.592,-3857899.025,9,900
-1504654.656,-3698775.115,9,700
-1497312.85,-3658414.691,9,1400
-1318538.592,-3857899.025,10,1050
-1504654.656,-3698775.115,10,1000
-1535506.577,-3507270.804,10,1000
-1535506.577,-3507270.804,10,1800
-1539991.003,-3447618.7,11,800
-1466050.019,-3795133.672,11,1200
-1502475.856,-3617747.721,11,1100
-1502475.856,-3617747.721,11,1200
-1545390.522,-3814760.226,11,1650
-1545390.522,-3814760.226,11,1700
