N,rep_num,ratio,NewCol
2,1,0.5,1
2,2,0.5,1
2,3,0.5,1
2,4,0.5,1
2,5,0.5,1
2,6,0.5,1
2,7,0.5,1
2,8,0.5,1
2,9,0.5,0
2,10,0.5,1
2,11,0.5,0
2,12,0.5,0
2,13,0.5,1
2,14,0.5,0
2,15,0.5,1
2,16,0.5,0
2,17,0.5,0
2,18,0.5,1
2,19,0.5,0
2,20,0.5,0
2,21,0.5,0
2,22,0.5,1
2,23,0.5,0
2,24,0.5,0
2,25,0.5,1
2,26,0.5,0
2,27,0.5,1
2,28,0.5,1
2,29,0.5,0
2,30,0.5,1
2,31,0.5,0
2,32,0.5,1
2,33,0.5,1
2,34,0.5,0
2,35,0.5,0
2,36,0.5,0
2,37,0.5,0
2,38,0.5,0
2,39,0.5,1
2,40,0.5,0
2,41,0.5,1
2,42,0.5,0
2,43,0.5,1
2,44,0.5,1
2,45,0.5,0
2,46,0.5,0
2,47,0.5,1
2,48,0.5,1
2,49,0.5,1
2,50,0.5,0
2,51,0.5,1
2,52,0.5,1
2,53,0.5,1
2,54,0.5,1
2,55,0.5,0
2,56,0.5,1
2,57,0.5,0
2,58,0.5,1
2,59,0.5,1
2,60,0.5,0
2,61,0.5,0
2,62,0.5,1
2,63,0.5,0
2,64,0.5,1
2,65,0.5,1
2,66,0.5,0
2,67,0.5,0
2,68,0.5,0
2,69,0.5,0
2,70,0.5,1
2,71,0.5,0
2,72,0.5,1
2,73,0.5,0
2,74,0.5,0
2,75,0.5,1
2,76,0.5,1
2,77,0.5,0
2,78,0.5,0
2,79,0.5,0
2,80,0.5,1
2,81,0.5,1
2,82,0.5,1
2,83,0.5,0
2,84,0.5,0
2,85,0.5,1
2,86,0.5,0
2,87,0.5,1
2,88,0.5,1
2,89,0.5,1
2,90,0.5,0
2,91,0.5,0
2,92,0.5,1
2,93,0.5,1
2,94,0.5,0
2,95,0.5,0
2,96,0.5,1
2,97,0.5,0
2,98,0.5,1
2,99,0.5,0
2,100,0.5,1
4,1,0.5,2
4,2,0.5,1
4,3,0.5,1
4,4,0.5,3
4,5,0.5,2
4,6,0.5,3
4,7,0.5,1
4,8,0.5,0
4,9,0.5,2
4,10,0.5,2
4,11,0.5,1
4,12,0.5,3
4,13,0.5,2
4,14,0.5,1
4,15,0.5,2
4,16,0.5,3
4,17,0.5,1
4,18,0.5,1
4,19,0.5,2
4,20,0.5,1
4,21,0.5,1
4,22,0.5,1
4,23,0.5,3
4,24,0.5,1
4,25,0.5,1
4,26,0.5,1
4,27,0.5,1
4,28,0.5,2
4,29,0.5,1
4,30,0.5,2
4,31,0.5,2
4,32,0.5,1
4,33,0.5,1
4,34,0.5,2
4,35,0.5,2
4,36,0.5,2
4,37,0.5,2
4,38,0.5,1
4,39,0.5,1
4,40,0.5,2
4,41,0.5,3
4,42,0.5,3
4,43,0.5,3
4,44,0.5,2
4,45,0.5,1
4,46,0.5,2
4,47,0.5,1
4,48,0.5,3
4,49,0.5,2
4,50,0.5,1
4,51,0.5,1
4,52,0.5,2
4,53,0.5,2
4,54,0.5,2
4,55,0.5,3
4,56,0.5,2
4,57,0.5,1
4,58,0.5,1
4,59,0.5,2
4,60,0.5,1
4,61,0.5,3
4,62,0.5,3
4,63,0.5,2
4,64,0.5,2
4,65,0.5,3
4,66,0.5,2
4,67,0.5,1
4,68,0.5,0
4,69,0.5,2
4,70,0.5,3
4,71,0.5,2
4,72,0.5,2
4,73,0.5,2
4,74,0.5,3
4,75,0.5,1
4,76,0.5,0
4,77,0.5,0
4,78,0.5,2
4,79,0.5,1
4,80,0.5,2
4,81,0.5,2
4,82,0.5,2
4,83,0.5,2
4,84,0.5,2
4,85,0.5,2
4,86,0.5,2
4,87,0.5,2
4,88,0.5,3
4,89,0.5,2
4,90,0.5,2
4,91,0.5,2
4,92,0.5,1
4,93,0.5,2
4,94,0.5,2
4,95,0.5,2
4,96,0.5,0
4,97,0.5,1
4,98,0.5,3
4,99,0.5,0
4,100,0.5,2
6,1,0.5,2
6,2,0.5,2
6,3,0.5,4
6,4,0.5,3
6,5,0.5,1
6,6,0.5,4
6,7,0.5,3
6,8,0.5,0
6,9,0.5,2
6,10,0.5,2
6,11,0.5,3
6,12,0.5,3
6,13,0.5,4
6,14,0.5,1
6,15,0.5,4
6,16,0.5,3
6,17,0.5,4
6,18,0.5,4
6,19,0.5,4
6,20,0.5,3
6,21,0.5,3
6,22,0.5,2
6,23,0.5,4
6,24,0.5,2
6,25,0.5,4
6,26,0.5,1
6,27,0.5,4
6,28,0.5,3
6,29,0.5,4
6,30,0.5,2
6,31,0.5,3
6,32,0.5,4
6,33,0.5,2
6,34,0.5,2
6,35,0.5,1
6,36,0.5,2
6,37,0.5,2
6,38,0.5,5
6,39,0.5,3
6,40,0.5,2
6,41,0.5,4
6,42,0.5,1
6,43,0.5,1
6,44,0.5,3
6,45,0.5,2
6,46,0.5,3
6,47,0.5,2
6,48,0.5,4
6,49,0.5,4
6,50,0.5,3
6,51,0.5,3
6,52,0.5,2
6,53,0.5,3
6,54,0.5,4
6,55,0.5,4
6,56,0.5,1
6,57,0.5,4
6,58,0.5,5
6,59,0.5,4
6,60,0.5,3
6,61,0.5,3
6,62,0.5,3
6,63,0.5,3
6,64,0.5,4
6,65,0.5,3
6,66,0.5,4
6,67,0.5,3
6,68,0.5,5
6,69,0.5,3
6,70,0.5,2
6,71,0.5,2
6,72,0.5,4
6,73,0.5,1
6,74,0.5,3
6,75,0.5,2
6,76,0.5,4
6,77,0.5,4
6,78,0.5,2
6,79,0.5,2
6,80,0.5,3
6,81,0.5,0
6,82,0.5,2
6,83,0.5,2
6,84,0.5,4
6,85,0.5,4
6,86,0.5,4
6,87,0.5,3
6,88,0.5,1
6,89,0.5,2
6,90,0.5,4
6,91,0.5,3
6,92,0.5,2
6,93,0.5,2
6,94,0.5,2
6,95,0.5,4
6,96,0.5,1
6,97,0.5,3
6,98,0.5,4
6,99,0.5,2
6,100,0.5,2
8,1,0.5,5
8,2,0.5,4
8,3,0.5,3
8,4,0.5,6
8,5,0.5,2
8,6,0.5,3
8,7,0.5,2
8,8,0.5,6
8,9,0.5,4
8,10,0.5,4
8,11,0.5,4
8,12,0.5,5
8,13,0.5,7
8,14,0.5,2
8,15,0.5,4
8,16,0.5,2
8,17,0.5,5
8,18,0.5,6
8,19,0.5,5
8,20,0.5,2
8,21,0.5,3
8,22,0.5,0
8,23,0.5,3
8,24,0.5,3
8,25,0.5,2
8,26,0.5,7
8,27,0.5,5
8,28,0.5,6
8,29,0.5,3
8,30,0.5,7
8,31,0.5,7
8,32,0.5,5
8,33,0.5,4
8,34,0.5,3
8,35,0.5,4
8,36,0.5,6
8,37,0.5,4
8,38,0.5,6
8,39,0.5,6
8,40,0.5,6
8,41,0.5,5
8,42,0.5,4
8,43,0.5,5
8,44,0.5,5
8,45,0.5,4
8,46,0.5,3
8,47,0.5,6
8,48,0.5,7
8,49,0.5,4
8,50,0.5,2
8,51,0.5,4
8,52,0.5,3
8,53,0.5,6
8,54,0.5,4
8,55,0.5,6
8,56,0.5,5
8,57,0.5,4
8,58,0.5,6
8,59,0.5,3
8,60,0.5,5
8,61,0.5,4
8,62,0.5,6
8,63,0.5,4
8,64,0.5,3
8,65,0.5,3
8,66,0.5,6
8,67,0.5,7
8,68,0.5,4
8,69,0.5,5
8,70,0.5,4
8,71,0.5,5
8,72,0.5,6
8,73,0.5,4
8,74,0.5,6
8,75,0.5,2
8,76,0.5,4
8,77,0.5,3
8,78,0.5,3
8,79,0.5,4
8,80,0.5,4
8,81,0.5,6
8,82,0.5,4
8,83,0.5,7
8,84,0.5,2
8,85,0.5,1
8,86,0.5,4
8,87,0.5,4
8,88,0.5,5
8,89,0.5,5
8,90,0.5,2
8,91,0.5,4
8,92,0.5,4
8,93,0.5,4
8,94,0.5,2
8,95,0.5,6
8,96,0.5,6
8,97,0.5,4
8,98,0.5,3
8,99,0.5,1
8,100,0.5,5
10,1,0.5,5
10,2,0.5,5
10,3,0.5,4
10,4,0.5,3
10,5,0.5,5
10,6,0.5,3
10,7,0.5,5
10,8,0.5,3
10,9,0.5,5
10,10,0.5,5
10,11,0.5,6
10,12,0.5,5
10,13,0.5,6
10,14,0.5,3
10,15,0.5,7
10,16,0.5,6
10,17,0.5,6
10,18,0.5,8
10,19,0.5,3
10,20,0.5,6
10,21,0.5,5
10,22,0.5,6
10,23,0.5,5
10,24,0.5,4
10,25,0.5,7
10,26,0.5,7
10,27,0.5,3
10,28,0.5,6
10,29,0.5,4
10,30,0.5,2
10,31,0.5,5
10,32,0.5,5
10,33,0.5,4
10,34,0.5,8
10,35,0.5,8
10,36,0.5,5
10,37,0.5,2
10,38,0.5,7
10,39,0.5,4
10,40,0.5,5
10,41,0.5,5
10,42,0.5,5
10,43,0.5,4
10,44,0.5,4
10,45,0.5,5
10,46,0.5,5
10,47,0.5,4
10,48,0.5,6
10,49,0.5,6
10,50,0.5,8
10,51,0.5,3
10,52,0.5,8
10,53,0.5,3
10,54,0.5,6
10,55,0.5,6
10,56,0.5,4
10,57,0.5,3
10,58,0.5,8
10,59,0.5,3
10,60,0.5,4
10,61,0.5,6
10,62,0.5,2
10,63,0.5,4
10,64,0.5,6
10,65,0.5,6
10,66,0.5,4
10,67,0.5,6
10,68,0.5,3
10,69,0.5,6
10,70,0.5,6
10,71,0.5,5
10,72,0.5,7
10,73,0.5,6
10,74,0.5,5
10,75,0.5,6
10,76,0.5,8
10,77,0.5,4
10,78,0.5,4
10,79,0.5,6
10,80,0.5,7
10,81,0.5,4
10,82,0.5,7
10,83,0.5,6
10,84,0.5,9
10,85,0.5,4
10,86,0.5,3
10,87,0.5,8
10,88,0.5,5
10,89,0.5,3
10,90,0.5,5
10,91,0.5,5
10,92,0.5,4
10,93,0.5,7
10,94,0.5,4
10,95,0.5,4
10,96,0.5,5
10,97,0.5,5
10,98,0.5,4
10,99,0.5,1
10,100,0.5,4
20,1,0.5,6
20,2,0.5,8
20,3,0.5,9
20,4,0.5,9
