X,Y,release_time_int,qty
-1650429.146,-3243540.249,1,437
-1492285.057,-3734721.812,1,458
-1491391.989,-3655786.834,1,524
-1301961.141,-3869095.783,1,687
-877290.0751,-3717464.583,1,516
-1328128.249,-3814145.896,1,452
-1320587.77,-3893606.494,1,500
-1539991.003,-3447618.7,3,500
-1625373.886,-3285441.357,3,500
-1594362.486,-3349198.941,3,500
-1547492.369,-3512581.371,3,500
-1521797.622,-3552540.574,4,500
-1494232.018,-3596036.503,8,1000
-1409186.531,-3831165.799,9,500
-1539991.003,-3447618.7,9,1000
-1494232.018,-3596036.503,9,500
-1397174.19,-3777317.836,10,500
-1436992.988,-3780279.023,10,500
-1521823.545,-3770410.607,10,900
-1486851.671,-3704015.588,11,1500
-1493998.902,-3597886.185,13,200
-1494100.463,-3646740.307,14,500
-1499449.623,-3666197.034,14,500
-1494859.767,-3690018.017,14,500
-1506063.167,-3712093.04,14,900
-1471415.878,-3777073.291,14,900
-1534878.506,-3788997.238,14,700
-1489045.022,-3612293.148,14,500
-1449778.904,-3789352.903,14,900
-1446620.912,-3839509.154,14,2000
-1502721.119,-3762312.792,14,500
-1466050.019,-3795133.672,14,1800
-1506673.546,-3522408.699,14,1600
-1500793.725,-3606260.902,14,500
-1475468.657,-3732592.404,14,1000
-1500860.173,-3655109.836,14,500
-1492128.693,-3674654.766,14,1000
-1498050.316,-3701685.018,14,500
-1489916.888,-3704403.93,14,600
-1491104.654,-3719564.713,14,600
-1504891.067,-3696928.422,14,900
-1509616.564,-3684393.592,14,900
-1486044.913,-3722674.586,14,900
-1468643.004,-3847888.746,14,700
-1445149.246,-3863647.32,14,700
-1454805.892,-3872337.7,14,700
-1445281.657,-3874885.366,14,700
-1453503.152,-3845982.671,14,700
-1443590.956,-3839132.105,14,1000
-1487416.309,-3833429.878,14,700
-1442762.474,-3833415.117,14,700
-1457327.374,-3827745.562,14,700
-1461286.517,-3820753.853,14,700
-1449376.157,-3817391.613,14,700
-1456464.169,-3797678.1,14,900
-1458769.181,-3779233.626,14,900
-1449234.929,-3806140.152,14,900
-1555147.759,-3787931.359,14,700
-1543217.243,-3784471.463,14,700
-1548081.895,-3794493.132,14,700
-1541722.117,-3842384.76,14,700
-1661190.867,-2726526.396,14,1400
-1542109.958,-3816199.556,14,700
-1550480.763,-3822935.69,14,700
-1549162.186,-3809637.389,14,700
-1538529.578,-3808227.548,14,700
-1554947.982,-3801033.059,14,700
-1532819.327,-3828090.507,14,700
-1545731.193,-3835422.556,14,700
-1530483.553,-3775293.025,14,500
-1556177.549,-3791819.993,14,1000
-1534568.682,-3779580.121,14,500
-1525748.772,-3787799.395,14,500
-1676185.213,-2559247.475,14,500
-1549250.764,-3774016.404,14,900
-1557605.256,-3769499.157,14,900
-1510916.582,-3770870.006,14,900
-1514350.984,-3756311.749,14,900
-1517970.092,-3764283.148,14,900
-1371913.44,-3847272.655,14,700
-1494100.463,-3646740.307,15,1655
-1034232.375,-3737719.433,18,1600
-904271.5857,-3726971.417,18,1600
-877428.6871,-3715610.499,18,1600
-989940.2118,-3715234.369,18,1600
-959313.5397,-3712691.425,18,1600
-885914.8551,-3725570.16,18,2000
-869635.5117,-3716894.836,18,5000
-1036960.873,-3741693.027,18,4000
-932391.736,-3721714.141,18,1500
